date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrolments
2025-04-01,Karnataka,Bengaluru,560068,330,60,54,444
2025-04-01,Karnataka,Bengaluru,560084,93,16,16,125
2025-04-01,Karnataka,Bengaluru,560097,162,21,16,199
2025-04-01,Karnataka,Bengaluru,560005,70,13,13,96
2025-04-01,Karnataka,Bengaluru,560043,270,71,92,433
2025-04-01,Karnataka,Bengaluru,560001,59,12,14,85
2025-04-01,Karnataka,Bengaluru,560010,101,15,36,152
2025-04-01,Karnataka,Bengaluru,560099,152,27,15,194
2025-05-01,Karnataka,Bengaluru,560048,48,51,27,126
2025-05-01,Karnataka,Bengaluru,560091,163,46,17,226
2025-05-01,Karnataka,Bengaluru,560032,118,57,25,200
2025-05-01,Karnataka,Bengaluru,560029,42,26,14,82
2025-05-01,Karnataka,Bengaluru,560099,80,60,18,158
2025-05-01,Karnataka,Bengaluru,560036,74,71,24,169
2025-05-01,Karnataka,Bengaluru,560068,164,120,80,364
2025-05-01,Karnataka,Bengaluru,560045,187,65,15,267
2025-05-01,Karnataka,Bangalore Rural,560067,49,15,12,76
2025-05-01,Karnataka,Bangalore Rural,562114,127,20,17,164
2025-05-01,Karnataka,Bengaluru,560008,20,20,12,52
2025-05-01,Karnataka,Bengaluru,560078,96,64,14,174
2025-05-01,Karnataka,Bengaluru,560064,157,83,29,269
2025-05-01,Karnataka,Bengaluru,560058,91,33,17,141
2025-05-01,Karnataka,Bengaluru,560067,75,63,45,183
2025-05-01,Karnataka,Bengaluru,560084,24,13,13,50
2025-05-01,Karnataka,Bengaluru,560066,92,63,43,198
2025-05-01,Karnataka,Bengaluru,560102,44,35,25,104
2025-05-01,Karnataka,Bengaluru,560093,14,20,15,49
2025-05-01,Karnataka,Bengaluru,560043,127,102,58,287
2025-05-01,Karnataka,Bengaluru,560047,40,26,13,79
2025-05-01,Karnataka,Bengaluru,560075,23,20,11,54
2025-05-01,Karnataka,Bengaluru,560100,129,105,29,263
2025-05-01,Karnataka,Bengaluru,560076,95,81,21,197
2025-05-01,Karnataka,Bengaluru,560097,77,39,12,128
2025-05-01,Karnataka,Bengaluru,560037,81,61,57,199
2025-05-01,Karnataka,Bengaluru,560103,55,30,33,118
2025-05-01,Karnataka,Bengaluru,560087,84,45,36,165
2025-05-01,Karnataka,Bengaluru,560035,101,70,60,231
2025-05-01,Karnataka,Bengaluru,560077,102,95,41,238
2025-05-01,Karnataka,Bengaluru,560061,70,37,11,118
2025-05-01,Karnataka,Bengaluru,560049,89,61,16,166
2025-05-01,Karnataka,Bengaluru,560016,97,61,38,196
2025-06-01,Karnataka,Bengaluru Urban,560098,52,18,19,89
2025-06-01,Karnataka,Bengaluru Urban,560029,67,27,19,113
2025-06-01,Karnataka,Bengaluru Rural,560067,210,142,149,501
2025-06-01,Karnataka,Bengaluru Urban,560045,329,120,24,473
2025-06-01,Karnataka,Bengaluru Urban,560084,83,40,13,136
2025-06-01,Karnataka,Bengaluru Urban,560064,313,156,44,513
2025-06-01,Karnataka,Bengaluru Urban,560068,278,231,167,676
2025-06-01,Karnataka,Bengaluru Urban,560016,188,128,80,396
2025-06-01,Karnataka,Bengaluru Urban,560103,45,61,96,202
2025-06-01,Karnataka,Bengaluru Urban,560010,93,31,28,152
2025-06-01,Karnataka,Bengaluru Urban,560091,268,87,29,384
2025-06-01,Karnataka,Bengaluru Urban,560092,68,33,24,125
2025-06-01,Karnataka,Bengaluru Urban,560047,108,62,10,180
2025-06-01,Karnataka,Bengaluru Urban,560058,131,42,23,196
2025-06-01,Karnataka,Bengaluru Urban,560035,97,86,122,305
2025-06-01,Karnataka,Bengaluru Urban,560001,40,23,12,75
2025-06-01,Karnataka,Bengaluru Urban,560062,140,71,22,233
2025-06-01,Karnataka,Raichur,584128,290,127,11,428
2025-06-01,Karnataka,Bengaluru Urban,560024,55,36,20,111
2025-06-01,Karnataka,Bengaluru Rural,560087,108,72,91,271
2025-06-01,Karnataka,Bengaluru Urban,560036,142,144,44,330
2025-06-01,Karnataka,Bengaluru Urban,560048,80,59,85,224
2025-06-01,Karnataka,Bengaluru Urban,560094,81,40,16,137
2025-06-01,Karnataka,Bengaluru Urban,560078,156,118,31,305
2025-06-01,Karnataka,Bengaluru Urban,560066,149,121,93,363
2025-06-01,Karnataka,Bengaluru Urban,560005,76,41,24,141
2025-06-01,Karnataka,Bengaluru Urban,560100,174,160,57,391
2025-06-01,Karnataka,Bengaluru Urban,560093,34,46,43,123
2025-06-01,Karnataka,Bengaluru Urban,560008,63,37,15,115
2025-06-01,Karnataka,Bengaluru Urban,560102,56,57,50,163
2025-06-01,Karnataka,Bengaluru Urban,560085,115,49,13,177
2025-06-01,Karnataka,Bengaluru Urban,560097,165,84,14,263
2025-06-01,Karnataka,Bengaluru Urban,560099,114,76,24,214
2025-06-01,Karnataka,Bengaluru Urban,560032,249,88,25,362
2025-06-01,Karnataka,Bengaluru Urban,560075,46,41,30,117
2025-06-01,Karnataka,Bengaluru Urban,560038,28,22,20,70
2025-06-01,Karnataka,Bengaluru Urban,560061,143,89,24,256
2025-06-01,Karnataka,Bengaluru Urban,560037,124,137,168,429
2025-06-01,Karnataka,Bengaluru Urban,560076,159,136,57,352
2025-06-01,Karnataka,Bengaluru Urban,560077,172,148,82,402
2025-06-01,Karnataka,Bengaluru Urban,560034,28,14,11,53
2025-06-01,Karnataka,Bengaluru Urban,562125,125,72,12,209
2025-06-01,Karnataka,Bengaluru Urban,560043,228,192,148,568
2025-06-01,Karnataka,Bengaluru Rural,560049,193,98,71,362
2025-07-01,Karnataka,Bengaluru Urban,560068,394,263,147,804
2025-07-01,Karnataka,Bengaluru Rural,560087,153,98,88,339
2025-07-01,Karnataka,Bengaluru Urban,562157,42,13,14,69
2025-07-01,Karnataka,Bengaluru Urban,560058,186,62,19,267
2025-07-01,Karnataka,Bengaluru Urban,560077,217,136,89,442
2025-07-01,Karnataka,Bengaluru Urban,560004,109,55,11,175
2025-07-01,Karnataka,Bengaluru Urban,560048,106,83,51,240
2025-07-01,Karnataka,Mysuru,571105,261,100,11,372
2025-07-01,Karnataka,Bengaluru Urban,560001,61,30,14,105
2025-07-01,Karnataka,Bengaluru Urban,562106,113,34,11,158
2025-07-01,Karnataka,Bengaluru Urban,560037,121,137,142,400
2025-07-01,Karnataka,Ramanagara,562160,168,24,12,204
2025-07-01,Karnataka,Bengaluru Urban,560008,78,42,26,146
2025-07-01,Karnataka,Bengaluru Urban,560092,52,26,32,110
2025-07-01,Karnataka,Bengaluru Urban,560041,81,38,13,132
2025-07-01,Karnataka,Bengaluru Urban,560076,253,154,52,459
2025-07-01,Karnataka,Bengaluru Urban,560099,127,92,22,241
2025-07-01,Karnataka,Bengaluru Urban,560103,62,76,45,183
2025-07-01,Karnataka,Bengaluru Urban,560017,47,49,16,112
2025-07-01,Karnataka,Bengaluru Urban,560064,311,119,65,495
2025-07-01,Karnataka,Bidar,585437,107,52,10,169
2025-07-01,Karnataka,Bengaluru Urban,560032,318,106,30,454
2025-07-01,Karnataka,Bengaluru Urban,560035,105,97,83,285
2025-07-01,Karnataka,Bengaluru Urban,560093,52,30,32,114
2025-07-01,Karnataka,Bengaluru Urban,560010,106,48,24,178
2025-07-01,Karnataka,Bengaluru Urban,560061,199,97,20,316
2025-07-01,Karnataka,Bengaluru Rural,560067,217,121,122,460
2025-07-01,Karnataka,Bengaluru Rural,560049,227,103,70,400
2025-07-01,Karnataka,Vijayapura,586101,363,77,10,450
2025-07-01,Karnataka,Bengaluru Urban,560046,54,25,10,89
2025-07-01,Karnataka,Bengaluru Urban,560085,147,62,13,222
2025-07-01,Karnataka,Bengaluru Urban,560100,217,178,51,446
2025-07-01,Karnataka,Mysuru,571104,20,21,57,98
2025-07-01,Karnataka,Bengaluru Urban,560045,446,165,24,635
2025-07-01,Karnataka,Bengaluru Urban,560016,208,90,64,362
2025-07-01,Karnataka,Bengaluru Urban,560075,49,57,23,129
2025-07-01,Karnataka,Bengaluru Urban,560038,48,25,30,103
2025-07-01,Karnataka,Bengaluru Urban,560102,80,70,57,207
2025-07-01,Karnataka,Bengaluru Urban,560027,60,37,15,112
2025-07-01,Karnataka,Bengaluru Urban,560043,228,202,116,546
2025-07-01,Karnataka,Bengaluru Urban,560091,305,91,12,408
2025-07-01,Karnataka,Bengaluru Urban,560036,188,111,46,345
2025-07-01,Karnataka,Bengaluru Rural,562110,139,22,13,174
2025-07-01,Karnataka,Bengaluru Urban,560005,89,46,15,150
2025-07-01,Karnataka,Bengaluru Urban,560084,96,51,19,166
2025-07-01,Karnataka,Bengaluru Urban,560034,37,28,19,84
2025-07-01,Karnataka,Bengaluru Urban,560097,159,64,24,247
2025-07-01,Karnataka,Bengaluru Urban,560066,152,142,92,386
2025-07-01,Karnataka,Bengaluru Urban,560029,127,74,20,221
2025-07-01,Karnataka,Bengaluru Rural,560060,191,73,17,281
2025-07-01,Karnataka,Bengaluru Urban,560024,44,26,21,91
2025-07-01,Karnataka,Bengaluru Urban,560062,220,101,22,343
2025-07-01,Karnataka,Bengaluru Urban,562125,149,81,25,255
2025-07-01,Karnataka,Bengaluru Urban,560047,158,67,15,240
2025-07-01,Karnataka,Mysuru,570023,68,17,12,97
2025-07-01,Karnataka,Bengaluru Urban,560078,339,172,36,547
2025-09-08,Karnataka,Gadag,582102,48,1,0,49
2025-09-20,Karnataka,Dakshina Kannada,575030,55,0,0,55
2025-11-15,Karnataka,Koppal,583227,50,0,2,52
2025-11-19,Karnataka,Koppal,583229,51,0,0,51
2025-11-25,Karnataka,Gadag,582101,50,1,0,51
2025-12-15,Karnataka,Davangere,577001,54,2,0,56
2025-12-29,Karnataka,Davangere,577213,80,0,0,80
2025-12-29,Karnataka,Bagalkot,587202,74,0,0,74
2025-12-29,Karnataka,Bagalkot,587118,57,0,0,57
2025-03-09,Uttar Pradesh,Gautam Buddha Nagar,201301,25,249,16,290
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201301,43,132,24,199
2025-03-15,Uttar Pradesh,Ghaziabad,201102,19,146,30,195
2025-03-15,Uttar Pradesh,Agra,282001,38,123,21,182
2025-03-15,Uttar Pradesh,Saharanpur,247001,91,152,10,253
2025-03-20,Uttar Pradesh,Agra,282001,96,125,11,232
2025-03-20,Uttar Pradesh,Gautam Buddha Nagar,201301,87,218,14,319
2025-03-20,Uttar Pradesh,Aligarh,202001,104,241,16,361
2025-04-01,Uttar Pradesh,Maharajganj,273305,141,176,13,330
2025-04-01,Uttar Pradesh,Banda,210001,250,177,30,457
2025-04-01,Uttar Pradesh,Lucknow,226005,83,92,23,198
2025-04-01,Uttar Pradesh,Banda,210121,208,163,13,384
2025-04-01,Uttar Pradesh,Kheri,261505,375,408,11,794
2025-04-01,Uttar Pradesh,Kanpur Nagar,208007,72,96,23,191
2025-04-01,Uttar Pradesh,Jaunpur,223104,111,133,10,254
2025-04-01,Uttar Pradesh,Budaun,243601,480,267,13,760
2025-04-01,Uttar Pradesh,Bahraich,271855,417,377,45,839
2025-04-01,Uttar Pradesh,Kanpur Dehat,209306,141,146,31,318
2025-04-01,Uttar Pradesh,Jaunpur,222001,373,360,28,761
2025-04-01,Uttar Pradesh,Saharanpur,247341,363,97,10,470
2025-04-01,Uttar Pradesh,Baghpat,250611,311,224,18,553
2025-04-01,Uttar Pradesh,Fatehpur,212635,166,136,10,312
2025-04-01,Uttar Pradesh,Bahraich,271903,87,146,24,257
2025-04-01,Uttar Pradesh,Lucknow,226021,165,114,11,290
2025-04-01,Uttar Pradesh,Etawah,206001,348,226,16,590
2025-04-01,Uttar Pradesh,Shamli,247776,374,151,12,537
2025-04-01,Uttar Pradesh,Lucknow,226016,161,185,15,361
2025-04-01,Uttar Pradesh,Gorakhpur,273001,68,180,23,271
2025-04-01,Uttar Pradesh,Balrampur,271208,123,201,10,334
2025-04-01,Uttar Pradesh,Varanasi,221002,147,175,10,332
2025-04-01,Uttar Pradesh,Bara Banki,225301,172,72,10,254
2025-04-01,Uttar Pradesh,Shahjahanpur,242001,725,385,17,1127
2025-04-01,Uttar Pradesh,Saharanpur,247001,1136,436,19,1591
2025-04-01,Uttar Pradesh,Bareilly,243201,1264,288,11,1563
2025-04-01,Uttar Pradesh,Sitapur,261201,568,282,14,864
2025-04-01,Uttar Pradesh,Gorakhpur,273015,102,188,10,300
2025-04-01,Uttar Pradesh,Bulandshahr,203001,377,295,32,704
2025-04-01,Uttar Pradesh,Kanpur Nagar,208021,174,169,11,354
2025-04-01,Uttar Pradesh,Sultanpur,228001,262,195,23,480
2025-04-01,Uttar Pradesh,Shahjahanpur,242221,469,248,30,747
2025-04-01,Uttar Pradesh,Shrawasti,271831,207,307,11,525
2025-04-01,Uttar Pradesh,Lucknow,226020,180,174,12,366
2025-04-01,Uttar Pradesh,Sitapur,261203,456,194,20,670
2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,201306,222,223,15,460
2025-04-01,Uttar Pradesh,Aligarh,202001,1066,643,58,1767
2025-04-01,Uttar Pradesh,Chandauli,232101,195,192,41,428
2025-04-01,Uttar Pradesh,Maharajganj,273164,385,306,33,724
2025-04-01,Uttar Pradesh,Agra,283201,138,64,16,218
2025-04-01,Uttar Pradesh,Muzaffarnagar,251002,251,115,13,379
2025-04-01,Uttar Pradesh,Siddharthnagar,272153,333,423,17,773
2025-04-01,Uttar Pradesh,Bareilly,243001,545,273,29,847
2025-04-01,Uttar Pradesh,Sitapur,261208,240,144,14,398
2025-04-01,Uttar Pradesh,Ambedkar Nagar,224122,159,143,10,312
2025-04-01,Uttar Pradesh,Pilibhit,262122,598,260,20,878
2025-04-01,Uttar Pradesh,Lucknow,226003,297,270,27,594
2025-04-01,Uttar Pradesh,Gorakhpur,273007,77,114,12,203
2025-04-01,Uttar Pradesh,Bahraich,271801,219,131,24,374
2025-04-01,Uttar Pradesh,Mainpuri,205262,123,107,11,241
2025-04-01,Uttar Pradesh,Gorakhpur,273008,61,93,24,178
2025-04-01,Uttar Pradesh,Bahraich,271865,287,322,61,670
2025-04-01,Uttar Pradesh,Bahraich,271902,106,158,32,296
2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,201301,602,503,55,1160
2025-04-01,Uttar Pradesh,Gonda,271503,223,126,17,366
2025-04-01,Uttar Pradesh,Kanpur Dehat,209303,204,122,10,336
2025-04-01,Uttar Pradesh,Etah,207001,724,354,13,1091
2025-04-01,Uttar Pradesh,Meerut,250002,809,355,22,1186
2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,201310,126,219,14,359
2025-04-01,Uttar Pradesh,Sitapur,261205,381,231,28,640
2025-04-01,Uttar Pradesh,Lucknow,226017,169,209,11,389
2025-04-01,Uttar Pradesh,Mainpuri,205247,81,83,14,178
2025-04-01,Uttar Pradesh,Maharajganj,273303,159,311,22,492
2025-04-01,Uttar Pradesh,Bareilly,243505,542,156,12,710
2025-04-01,Uttar Pradesh,Balrampur,271604,181,301,12,494
2025-04-01,Uttar Pradesh,Kanpur Nagar,208011,121,121,10,252
2025-04-01,Uttar Pradesh,Bahraich,271851,158,117,14,289
2025-04-01,Uttar Pradesh,Sitapur,261204,283,202,11,496
2025-04-01,Uttar Pradesh,Shahjahanpur,242127,208,219,16,443
2025-04-01,Uttar Pradesh,Balrampur,271205,125,140,10,275
2025-04-01,Uttar Pradesh,Muzaffarnagar,251001,429,193,14,636
2025-04-01,Uttar Pradesh,Unnao,209861,214,118,11,343
2025-04-01,Uttar Pradesh,Siddharthnagar,272192,183,323,28,534
2025-04-01,Uttar Pradesh,Maharajganj,273304,188,184,11,383
2025-04-01,Uttar Pradesh,Jalaun,285205,160,70,16,246
2025-04-01,Uttar Pradesh,Gonda,271504,108,89,21,218
2025-04-01,Uttar Pradesh,Basti,272163,140,139,10,289
2025-04-01,Uttar Pradesh,Gautam Buddha Nagar,203207,242,241,29,512
2025-04-01,Uttar Pradesh,Azamgarh,276121,139,158,16,313
2025-04-01,Uttar Pradesh,Kanpur Nagar,209214,93,131,17,241
2025-04-01,Uttar Pradesh,Rampur,244901,894,333,19,1246
2025-04-01,Uttar Pradesh,Bareilly,243503,825,308,11,1144
2025-04-01,Uttar Pradesh,Moradabad,244001,1519,510,15,2044
2025-04-01,Uttar Pradesh,Lucknow,226010,129,147,14,290
2025-04-01,Uttar Pradesh,Agra,282001,694,504,21,1219
2025-04-01,Uttar Pradesh,Meerut,250001,561,295,11,867
2025-04-01,Uttar Pradesh,Kanpur Nagar,208001,438,332,62,832
2025-04-01,Uttar Pradesh,Bahraich,271881,128,187,16,331
2025-04-01,Uttar Pradesh,Bulandshahr,203205,235,232,17,484
2025-04-01,Uttar Pradesh,Jaunpur,222139,133,242,13,388
2025-04-01,Uttar Pradesh,Azamgarh,276305,92,174,10,276
2025-04-01,Uttar Pradesh,Varanasi,221001,328,477,41,846
2025-04-01,Uttar Pradesh,Gorakhpur,273016,70,152,17,239
2025-04-01,Uttar Pradesh,Bahraich,271830,209,213,27,449
2025-04-01,Uttar Pradesh,Kanpur Nagar,208027,136,173,10,319
2025-04-01,Uttar Pradesh,Siddharthnagar,272206,288,260,23,571
2025-04-01,Uttar Pradesh,Unnao,209801,723,429,19,1171
2025-04-01,Uttar Pradesh,Amroha,244221,434,135,11,580
2025-05-01,Uttar Pradesh,Kanpur Nagar,208010,149,93,11,253
2025-05-01,Uttar Pradesh,Banda,210125,142,180,11,333
2025-05-01,Uttar Pradesh,Kanpur Nagar,209210,116,85,12,213
2025-05-01,Uttar Pradesh,Agra,282006,380,273,16,669
2025-05-01,Uttar Pradesh,Bahraich,271855,426,391,40,857
2025-05-01,Uttar Pradesh,Kanpur Nagar,208001,471,485,23,979
2025-05-01,Uttar Pradesh,Lucknow,226003,447,375,23,845
2025-05-01,Uttar Pradesh,Ghaziabad,201002,161,164,13,338
2025-05-01,Uttar Pradesh,Bijnor,246701,557,148,11,716
2025-05-01,Uttar Pradesh,Banda,210126,86,118,17,221
2025-05-01,Uttar Pradesh,Bahraich,271902,155,231,16,402
2025-05-01,Uttar Pradesh,Kheri,262902,177,150,11,338
2025-05-01,Uttar Pradesh,Kanpur Nagar,208027,99,191,11,301
2025-05-01,Uttar Pradesh,Sitapur,261201,494,318,10,822
2025-05-01,Uttar Pradesh,Maharajganj,273305,101,147,12,260
2025-05-01,Uttar Pradesh,Bareilly,243001,556,328,34,918
2025-05-01,Uttar Pradesh,Fatehpur,212601,274,224,11,509
2025-05-01,Uttar Pradesh,Bahraich,271801,251,211,13,475
2025-05-01,Uttar Pradesh,Pilibhit,262001,781,309,11,1101
2025-05-01,Uttar Pradesh,Deoria,274202,160,197,10,367
2025-05-01,Uttar Pradesh,Agra,283123,133,33,12,178
2025-05-01,Uttar Pradesh,Shahjahanpur,242127,194,212,24,430
2025-05-01,Uttar Pradesh,Meerut,250001,570,334,17,921
2025-05-01,Uttar Pradesh,Sultanpur,228001,209,205,10,424
2025-05-01,Uttar Pradesh,Lucknow,226005,71,99,12,182
2025-05-01,Uttar Pradesh,Gautam Buddha Nagar,201306,284,281,14,579
2025-05-01,Uttar Pradesh,Lalitpur,284404,138,71,10,219
2025-05-01,Uttar Pradesh,Etah,207302,360,96,12,468
2025-05-01,Uttar Pradesh,Pilibhit,262122,586,331,10,927
2025-05-01,Uttar Pradesh,Hapur,245101,681,450,11,1142
2025-05-01,Uttar Pradesh,Banda,210121,188,227,13,428
2025-05-01,Uttar Pradesh,Gautam Buddha Nagar,201301,583,634,38,1255
2025-05-01,Uttar Pradesh,Aligarh,202122,135,86,11,232
2025-05-01,Uttar Pradesh,Agra,282005,192,173,10,375
2025-05-01,Uttar Pradesh,Lucknow,226008,90,86,13,189
2025-05-01,Uttar Pradesh,Budaun,243638,222,228,11,461
2025-05-01,Uttar Pradesh,Shrawasti,271831,201,291,12,504
2025-05-01,Uttar Pradesh,Maharajganj,273303,136,303,12,451
2025-05-01,Uttar Pradesh,Aligarh,202001,1061,847,44,1952
2025-05-01,Uttar Pradesh,Rampur,244901,982,486,15,1483
2025-05-01,Uttar Pradesh,Sitapur,261205,308,222,21,551
2025-05-01,Uttar Pradesh,Bahraich,271865,282,494,61,837
2025-05-01,Uttar Pradesh,Kheri,261505,252,291,12,555
2025-05-01,Uttar Pradesh,Varanasi,221107,176,198,10,384
2025-05-01,Uttar Pradesh,Shrawasti,271845,78,154,16,248
